AN	CLUSTER	MORPH_TYPE	EXPONENT	BASE_POS	BASE_SEM
"NC:abatteur"	2	affixed	eur	v	action
"NC:aboyeur"	5	affixed	eur	v	action
"NC:abuseur"	4	affixed	eur	v	action
"NC:accessoiriste"	2	affixed	iste	n	object
"NC:accompagnateur"	6	affixed	eur	v	action
"NC:accordéoniste"	3	affixed	iste	n	domain
"NC:accoucheur"	4	affixed	eur	v	action
"NC:accusateur"	4	affixed	eur	v	action
"NC:acheteur"	1	affixed	eur	v	action
"NC:acquéreur"	1	affixed	eur	v	action
"NC:administrateur"	1	affixed	eur	v	action
"NC:aérostier"	3	affixed	ier	n	object
"NC:affairiste"	1	affixed	iste	n	action
"NC:afficheur"	6	affixed	eur	v	action
"NC:affichiste"	3	affixed	iste	n	objCog
"NC:affréteur"	2	affixed	eur	v	action
"NC:agioteur"	4	affixed	eur	v	action
"NC:agonisant"	4	conversion	ant	v	action
"NC:agresseur"	4	affixed	eur	v	action
"NC:aiguilleur"	6	affixed	eur	v	action
"NC:ailier"	6	affixed	ier	n	object
"NC:ajusteur"	2	affixed	eur	v	action
"NC:alchimiste"	4	affixed	iste	n	domain
"NC:algébriste"	3	affixed	iste	n	domain
"NC:aliéniste"	3	affixed	iste	n	object
"NC:allumeuse"	5	affixed	eur	v	action
"NC:alpiniste"	3	affixed	iste	n	object
"NC:ambassadeur"	3	affixed	eur	n	action
"NC:ambulancier"	6	affixed	ier	n	object
"NC:amuseur"	4	affixed	eur	v	action
"NC:anatomiste"	3	affixed	iste	n	domain
"NC:anecdotier"	3	affixed	ier	n	objCog
"NC:anesthésiste"	3	affixed	iste	n	action
"NC:ânier"	5	affixed	ier	n	object
"NC:animalier"	3	affixed	ier	n	object
"NC:animateur"	3	affixed	eur	v	action
"NC:annonceur"	1	affixed	eur	v	action
"NC:annonciateur"	4	affixed	eur	v	action
"NC:anthropologiste"	3	affixed	iste	n	domain
"NC:antiquaire"	2	affixed	aire	n	object
"NC:aoûtien"	5	affixed	ien	n	property
"NC:apologiste"	3	affixed	iste	n	action
"NC:appelant"	4	conversion	ant	v	action
"NC:appeleur"	5	affixed	eur	v	action
